front,back,part_of_speech
ཕྲུ་གུ་,"children, kids",n
གྲོགས་མོ་,female friend,n
ཨ་རི་,United States of America,n
ཕ་ཡུལ་,fatherland,n
ཡོང་བ་,to come (ཐ་མི་དད་པ་),v
ལོ་,year,n
ནང་པ་,Buddhist,n
ནས་,from,prep
ག་ནས་,from where,int
ཡིན་ན་ཡང་,"but, however",prep
དེང་སང་,"these days, nowadays",adv
དབྱིན་ཡུལ་,England,n
ཡི་ཤུའི་ཆོས་,Christianity,n
ཁ་ཆེའི་ཆོས་,Islam,n
སྤུན་ཀྱག་,"relative, kinsman, family member",n
སྐྱེས་པ་,"to be born, to arise (ཐ་མི་དད་པ་)",v
ཨ་མདོ་,Amdo,n
རིག་པ་ཡག་པོ་,"clever, intelligent",adj
བཞུགས་པ་,"to stay, to live, to sit (down) (H) (ཐ་མི་དད་པ་)",v
འཁྲུང་བ་,to be born (H) (ཐ་མི་དད་པ་),v
འཛམ་གླིང་,"world, planet earth",n
ནང་མི་,family,n
དབུས་གཙང་,Ü-Tsang (Central province),n
ཡུ་རོབ་,Europe,n
བོད་སྐད་སྐྱོན་པ་,to talk in Tibetan (H) (ཐ་དད་པ།),v
ཨ་ནི་,"nun, aunt",n
སྐྱོ་པོ་,poor,adj
སླེབས་པ་,"to arrive, to reach, to get somewhere (ཐ་མི་དད་པ་)",v
གྲྭ་པ་,monk,n
དོ་སྣང་,"interest, affinity",n
ཞུ་བ་,"to be called (h) (ཐ་དད་པ་)to take, drink, serveto say",v
ཁམས་,Kham,n
ཉམ་ཆུང་,"humble, modest",adj
ཧིན་དུའི་ཆོས་,Hinduism,n
ཕྱི་རྒྱལ་,"abroad, foreign country",n
སྐྱེ་ས་,place of birth,n
ལུང་པ་,"country, land, area, valley",n
ལྷོ་ཨ་མེ་རི་ཀ་,South America,n
མཚན་,name (H),n
རྒྱལ་ཁབ་,"state, nation",n
ཕྱུག་པོ་,"rich, wealthy",adj
ཕ་མ་,"parents, father and mother",n
ཤར་གླིང་ལུང་པ་,Asian country,n
བལ་ཡུལ་,Nepal,n
ཆོས་ལུགས་,"religion, religious tradition",n
གྲོགས་པོ་,male friend,n
ཆོས་གྲོགས་,"dharma friend, friend from the same sangha",n
ཆང་ས་རྒྱག་པ་,to get married (ཐ་དད་པ་),v
སེམས་པ་བཟང་པོ་,"kindhearted, kind",adj
ནང་ཆོས་,Buddhism,n
དགའ་རོགས་,"boyfriend, girlfriend",n
རྒྱ་གར་,India,n
བཞེས་པ་,"to take, to have (H) (ཐ་དད་པ་)",v
འཚིག་ཇ་,coffee,n
ལེ་ལོ་ཚ་པོ་,lazy,adj
ལོ་ཆེན་པོ་,old (for people and animals),adj
འགྲིག་པ་,"to be fine, alright (ཐ་མི་དད་པ་)",v
ཁ་ཟས་,kabsey (Tibetan biscuits),n
ཨ་ཅག་,older sister,n
ལོ་ཆུང་ཆུང་,"small, young (for animals and people)",adj
ཕྱུ་ར་,cheese,n
ཇ་,tea,n
བོད་ཇ་,Tibetan tea,n
ཚྭ་,salt,n
བག་ལེབ་,bread,n
ཨ་མ་ལགས་,mother (H),n
ཟ་བ་,to eat (ཐ་དད་པ་) [syn. བཟའ་བ་],v
ཞིམ་པོ་,"delicious, tasty",adj
མང་ཆེ་བ་,"most, mostly, majority",adj
ཡིན་གཅིག་མིན་གཅིག་,"absolutely have to, at any cost!",
སྲུ་མོ་,maternal aunt [syn. ཨ་སྲུ་]mother's sister,n
གཅུང་པོ་,younger brother or relative,n
ཡར་ཕེབས་,Please come in! (lit. come up!),p
སྐྱེས་དམན་,wife,n
གཞོན་གཞོན་,young,adj
ཆོབ་ཚ་པོ་,"funny, someone who likes joking",adj
ག་རེ་བྱུང་ན་འགྲིག་གི་རེད་,I am fine with whatever there is,p
མནའ་མ་,daughter-in-law,n
སེམས་ཁྲལ་བྱེད་པ་,"to worry, to get worried (ཐ་དད་པ་)",v
སྤྲད་པ་,to give (ཐ་དད་པ་),v
གཅུང་མོ་,younger sister or relative,n
ཨ་ཞང་,"maternal uncle, mother's brother",n
བཟོ་བ་,"to make, to prepare, to produce (ཐ་དད་པ་)",v
གའི་ཡོད་མ་རེད་,No problem!,p
རྨོ་རྨོ་ལགས་,grandmother,n
སྤོ་བོ་ལགས་,grandfather,n
ཟླ་བོ་,"spouse, partner",n
དགུང་ལོ་ཆེན་པོ་,old (for people) (H),adj
སྐད་ཆ་བཤད་པ་,"to chat, to talk, to have a conversation (ཐ་དད་པ་)",v
ཨ་ཁུ་,paternal uncle,n
བཀའ་མོལ་གནང་བ་,"to chat, to talk, to have a conversation (H) (ཐ་དད་པ་)",v
འོག་མ་,younger brother or sister,n
དཀར་ཡོལ་,cup,n
ཁྱོ་ག་,husband,n
ཅོ་ཅོ་,older brother,n
དད་པ་ཆེན་པོ་,"devoted, having great faith",adj
པ་ལགས་,father (H),n
ཨ་ནི་,(1) paternal aunt(2) and (as conjunction),n
ཇ་སྲུབ་མ་,Tibetan buttered churned tea,n
འོ་མ་,milk,n
འཆམ་པོ་,"close, getting along well",adj
གསོལ་ཇ་,tea (H),n
ཇ་ཐང་,black tea,n
ཇ་མངར་མོ་,sweet tea,n
གང་,"full, filled",adj
ད་དུང་,"still, apart from X, also",adv
མདོང་མོ་,churn for making Tibetan tea,n
ཇ་དམ་,thermos,n
ཆོབ་སློང་བ་,to make jokes   (ཐ་དད་པ་),v
འགྲེམས་སྟོན་ཁང་,museum,n
གསུང་ཆོས་,"religious teaching, Dharma talk",n
བདུན་ཕྲག་སྔོན་མ་,last week,"n, adv"
རོགས་པ་བྱེད་པ་,to help somebody   (ཐ་དད་པ་),v
ཟ་ཁང་,restaurant,n
ཨ་རག་,alcohol,n
དུས་ཚོད་སྟོང་པ་,"free time, leisure",n
གང་ཡིན་ཟེར་ན་,because,conj
རྐྱལ་རྒྱག་པ་,to swim   (ཐ་དད་པ་),v
བརྙན་འཕྲིན་ལྟ་བ་,to watch television   (ཐ་དད་པ་),v
འཕྲོ་བརླག་གཏོང་བ་,"to waste, to not use wisely, to spoil   (ཐ་དད་པ་)",v
གློག་བརྙན་ཁང་,"cinema, movie hall",n
སྐྱེ་སྐར་ཐུགས་སྤྲོ་,birthday party,n
ཞབས་བྲོ་འཁྲབ་པ་,to dance   (ཐ་དད་པ་),v
རོགས་པ་ཐུག་གར་འགྲོ་བ་,to go to meet a friend,v
ངལ་གསོ་རྒྱག་པ་,"to relax, to take a rest, to recover   (ཐ་མི་དད་པ་)",v
རྩེད་མོ་རྩེ་བ་,"to play games, to joke around   (ཐ་དད་པ་)",v
ཟློས་གར་ཁང་,theatre,n
ཐ་མག་འཐེན་པ་,to smoke cigarettes   (ཐ་དད་པ་),v
གླིང་ག་གཏོང་བ་,to have a picnic   (ཐ་དད་པ་),v
གུང་སེང་,"holiday, free time, break",n
རི་འཛེག་པ་,"to climb, to hike, to go to the mountains   (ཐ་དད་པ་)",v
དྲྭ་རྒྱ་སྔོག་པ་,to surf in the internet   (ཐ་དད་པ་),v
གཟའ་ཉི་མ་,Sunday,n
ཐུགས་སྤྲོ་,party,n
ར་བཟི་བ་,"to get drunk, to become intoxicated   (ཐ་མི་དད་པ་)",v
ཕྱི་ལོགས་,"out, outside","n, adj"
ལྷོད་ལྷོད་བྱེད་པ་,to do something in a relaxed way   (ཐ་(མི་)དད་པ་),v
ལྟད་མོ་ལྟ་བ་,"to watch a movie, film (ཐ་དད་པ་)",v
ཕྱི་པོ་ཆགས་པ་,"to get late, to arrive late   (ཐ་མི་དད་པ་)",v
གཟའ་མཇུག་,"weekend, Saturday & Sunday",n
གཟའ་སྤེན་པ་,Saturday,n
གཞས་གཏོང་བ་,"to sing, to sing songs   (ཐ་དད་པ་)",v
ཐེངས་གཅིག་,"one time, once",adv
ཉམས་ལེན་བྱེད་པ་,to practice (in a religious sense)   (ཐ་དད་པ་),v
ལྟད་མོ་ཆེན་པོ་,"pleasant to see, entertaining, nice to watch",adj
དུས་ཚོད་རག་པ་,"to get the time, to find the time   (ཐ་མི་དད་པ་)",v
གཅན་གཟན་ཁང་,zoo,n
ཕྱག་འཚལ་བ་,to do prostrations   (ཐ་དད་པ་),v
གད་མོ་ཤོར་བ་,to laugh   (ཐ་མི་དད་པ་),v
ནང་ལས་བྱེད་པ་,"to do housework, household work   (ཐ་དད་པ་)",v
གནས་མཇལ་,pilgrimage // གནས་སྐོར།,n
གནམ་གཤིས་,"weather, climate",n
དཔྱིད་ཀ,spring,n
ད་ལྟ་,"now, at the moment",adv
སྤྱིར་བཏང་,"in general, generally",adv
ཁག་ཁག,"different, separate",adj
ས་ཆ་,place,n
ས་རུབ་པ་,to get dark   (ཐ་མི་དད་པ་),v
སྟོན་ཀ,"fall, autumn",n
སྨུག་པ་འཁོར་བ་,"to be foggy, misty   (ཐ་མི་དད་པ་)",v
འབྲུག་སྐད་རྒྱག་པ་,to thunder   (ཐ་མི་དད་པ་),v
ས་ཡོམ་རྒྱག་པ་,to happen an earthquake   (ཐ་མི་དད་པ་),v
རྟག་པར་,"always, every...",adv
ནང་བཞིན་,"like, as, just as",prep
དགོང་མོ་,evening,n
ཆར་པ་འབབ་པ་,to rain   (ཐ་མི་དད་པ་),v
ཤར་,east,"n, adj"
ཚོས་གཞི་,color // ཚོན་ཁྲ།,n
ཚ་བ་འཚིག་པ་,"to feel hot, to be hot   (ཐ་མི་དད་པ་)",v
ཚ་བ་ཆེན་པོ་,"hot, lots of heat",adj
ཚ་བ་,heat,n
སྤྲིན་པ་འཁྲིགས་པ་,to be cloudy   (ཐ་མི་དད་པ་),v
དྲོད་,"warmth, heat",n
ཞོགས་གས་,morning,n
ཤུགས་ཆེན་པོ་,"strong, strongly",adj
བསིལ་པོ་,"fresh, pleasantly cold, chilly",adj
རླུང་རྒྱག་པ་,"to be windy, to blow   (ཐ་མི་དད་པ་) // རླུང་པོ་རྒྱག་པ་",v
ལྗང་ཐིང་ཐིང་,bright green,n
ལྷོ་,south,"n, adj"
ཆར་དུས་,rainy season,n
ནམ་རྒྱུན་,"usually, usual, commonly",adv
གངས་འབབ་པ་,"to snow, snowfall   (ཐ་མི་དད་པ་)",v
ལྷགས་པ་,"breeze, wind // རླུང་པ་རྒྱག་པ་",n
གློག་འཁྱུག་པ་,lightning striking / flashing   (ཐ་མི་དད་པ་),v
གྲང་མོ་,cold,"n, adj"
དགུན་ཁ་,winter,n
སེར་ར་གཏོང་བ་,to hail   (ཐ་མི་དད་པ་),v
ནུབ་,west,"n, adj"
ཚ་གྲང་སྙོམས་པོ་,comfortable temperature,n
ནམ་དུས་,season,n
སྲུང་སྐྱོབ་བྱེད་པ་,"to protect, to guard, to save   (ཐ་དད་པ་)",v
འཁྱག་པ་,"to freeze, to feel cold   (ཐ་མི་དད་པ་)",v
སྡུག་ཅག,"ugly, bad, not good",adj
དབྱར་ཀ,summer,n
ནམ་མཁའ་,"sky, space",n
ཚ་གྲང་,temperature,n
ཡང་,"also, as well",conj
ལོ་མ་,leaf,n
ཉིན་མ་རྟག་པར་,"every day, daily // ཉིན་ལྟར་",adv
ཉི་མ་ཤར་བ་,"to shine, sunshine   (ཐ་མི་དད་པ་)",v
ཉི་མ་ནུབ་པ་,"to set (the sun), sunset   (ཐ་མི་དད་པ་)",v
བྱས་ཙང་,"therefore, for this reason",conj
འདྲ་མི་འདྲ་,"all kinds of, different types of, various kinds of",adj
གྲང་བ་,"to feel cold, to be cold   (ཐ་མི་དད་པ་) // འཁྱག་པ་",v
ཚ་པོ་,hot,adj
མཚན་མོ་,night,n
དགའ་ཤོས་,favorite,adj
ཉིན་གུང་རྒྱབ་,afternoon,n
དེ་དུས་,"that time, in that moment",adv
དུས་བཞི་,the four seasons,n
བྱང་,north,"n, adj"
ཁྱོན་བསྡོམས་,"in total, the sum of",n
ཐ་པག་,"plate, dish",n
ཞོག་ཁོག་,potato,n
པགས་པ་བཤུ་བ་,to peel the skin   (ཐ་དད་པ་),v
དང་པོ་,"first, at first",adj
སྔོན་ལ་,"before, in the beginning",adv
མཚམས་མཚམས་ལ་,"occasionally, once in a while",adv
་་་ན་འགྲིག་གི་རེད་པས་,"is it fine if..., may I?",p
ཡོད་དང་ཡོད་,Of course! Certainly!,n
ཞབས་ཞུ་མ་,waitress,n
ཆང་,"chang, rice beer, barley beer",n
འཚོད་པ་,to be cooked/ing (ཐ་དད་པ་) (བྱེད་མེ་ལས་ཚིག་),v
རྩིས་རྒྱག་པ་,"to calculate, to bring the bill   (ཐ་དད་པ་)",v
སྐོལ་བ་,to boil   (liquids)   (ཐ་དད་པ་),v
གསོལ་ཚིགས་,food   (H),n
དཀྲུག་དཀྲུག་གཏོང་བ་,to stir   (ཐ་དད་པ་),v
གཙང་མ་,clean,adj
ཁ་ཚ་པོ་,spicy,adj
ལ་ཤད་རྒྱག་པ་,to grate   (ཐ་དད་པ་),v
ཨ་སློག་རྒྱག་པ་,to turn upside down   (ཐ་དད་པ་),v
ཏག་ཏག་རེད་,Perfect! Exactly!,p
ཁོ་ཙེ་,chopsticks,n
རག་པ་,"to get, to receive, to be available   (ཐ་མི་དད་པ་)",v
སོས་པ་,"fresh   (food, vegetables, etc.)",adj
མང་དྲགས་པ་,"to be too much, to be excessive   (ཐ་མི་དད་པ་)",v
ཆང་ཁང་,bar,n
ཐུག་པ་,"soup, noodles",n
སྒོ་ང་,egg,n
ཁ་ལག་མངག་པ་,to order food   (ཐ་དད་པ་),v
སི་པན་,chilli,n
རྐང་ཊ་,fork,n
སྐད་གཏོང་བ་,"to call over, to invite   (ཐ་དད་པ་)",v
བཞུ་བ་,"to melt, to get melted   (ཐ་དད་པ་)",v
ཇ་ཁང་,tea shop   (syn: ཇ་འཐུང་ས་),n
བཞེས་ཐུག་,soup   (H),n
ཁ་ལག་,food,n
གྲི་,knife,n
རྔོད་པ་,to fry   (ཐ་དད་པ་),v
སྣུམ་,oil,n
རྩམ་པ་,"tsampa, roasted flour",n
ཤ་,meat,n
ཐུར་མ་,spoon,n
ཞབས་ཞུ་བ་,waiter,n
གྲོད་ཁོག་རྒྱགས་པ་,"to feel full, to be satisfied   (ཐ་མི་དད་པ་)",v
ཤ་མེད་རྐྱང་རྐྱང་,exclusively vegetarian,adj
རྗེས་ལ་,"after that, later",adv
སྒོར་མོ་,unit of any currency,n
འཐེན་ཐུག་,handmade noodle soup,n
འབྲས་,rice,n
ཙོང་,onion,n
མོག་ཐུག་,momos in soup,n
ཤ་བག་ལེབ་,meat bread,n
འཐུང་བ་,to drink   (ཐ་དད་པ་),v
འཁྲུད་པ་,to wash   (ཐ་དད་པ་),v
འཚིག་པ་,to get burned   (ཐ་མི་དད་པ་),v
ཚལ་,vegetable,n
ཐབ་ཚང་,kitchen,n
བཞེས་མོག་,momos   (H),n
ཨུ་ཚུགས་རྒྱག་པ་,to insist   (ཐ་དད་པ་),v
རྩམ་ཐུག་,soup made out of tsampa,n
མ་བྱན་,cook,n
ཤ་མེད་,vegetarian,adj
སྦྱིན་བདག་,"patron, restaurant owner // sponsor, benefactor",n
སྒོག་པ་,garlic,n
ཤིང་ཏོག་ཁུ་བ་,fruit juice,n
གྲོད་ཁོག་ལྟོགས་པ་,to feel hungry   (ཐ་མི་དད་པ་),v
མེ་གཏོང་བ་,to put the fire/stove on   (ཐ་དད་པ་),v
གྲོད་ཁོག་,stomach,n
གཏུབ་པ་,"to cut, to chop   (ཐ་དད་པ་)",v
ཚལ་ཐོ་,menu,n
ཁ་ལག་བཟོ་བ་,"to make food, to prepare food   (ཐ་དད་པ་)",v
ཤ་མོ་,mushroom,n
ལྷག་མ་,"left, left over",adj
ཞལ་ལག་,food   (H),n
ཆབ་,water   (H),n
གྲང་ཚལ་,salad,n
བྲོ་བ་,"taste, flavour",n
མཆོད་པ་,"to eat, to drink // to offer   (H)",v
མོག་མོག་,"momos, dumplings",n
ཐང་,soup,n
ཚྭ་ཁུ་,salty,adj
ཧ་ཡང་,"pot, pan",n
ཕོར་པ་,bowl,n
གོང་གཅོག་པ་,"to give a discount, to lower the price     (ཐ་དད་པ)",v
མགོ་སྐོར་གཏོང་བ,"to cheat, to fool somebody     (ཐ་དད་པ)",v
གྱོང,loss,n
གནང་བ,"to do, to give (H)     (ཐ་དད་པ)",v
སྒོ་ཕྱེ་བ་,"to open, to open the door     (ཐ་དད་པ)",v
ཚུར་སློག་པ་,to return/to bring back something     (ཐ་དད་པ),v
མིག་ཤེལ,glasses,n
གོང་ཆེ་དྲགས་པ,to be too expensive     (ཐ་མི་དད་པ),v
གོང་ཆག་པ,"the price going down, decrease (price)     (ཐ་མི་དད་པ)",v
ཞིམ་ལོད་ལྟ་བ་,"to taste, to test the taste of something     (ཐ་དད་པ)",v
སྤྲོ་ལོད་གཟིགས་པ་,"to taste, to test the taste of something (H)     (ཐ་དད་པ)",v
འཕྲོ་བརླག་འགྲོ་བ,"to go to waste, to become old     (ཐ་མི་དད་པ)",v
སྐྱུར་མོ,sour,"n, adj"
ཀི་ལོ་རེ་རེ,each kilo,p
གྲོ་ཞིབ་,flour,n
ད་དུང,"still, again, further",adv
རྫོགས་པ,"to run out, to be finished     (ཐ་མི་དད་པ)",v
གཞན་དག,"other, else",adj
དེ་འདྲས་ཡིན་དུས་,"this being so, this being the case, it being like this, therefore",
ཁེ་བཟང,"gain, profit",n
ངང་ལག,banana,n
འཚོང་བ,to sell     (ཐ་དད་པ),v
གོང་ཆེ་བ་ལ་,How expensive!,p
ཤ་རྫུན་མ,"soya chunks, artificial meat",n
སྤོས,incense,n
ཅ་ལག,"things, stuff, belongings",n
དངུལ,"money, silver",n
ཉོ་བ,"to buy, to purchase     (ཐ་དད་པ)",v
སྒོ་རྒྱག་པ་,"to close, to shut, to close the door     (ཐ་དད་པ)",v
གཞག་པ,"to place, to put     (ཐ་དད་པ)to posit, to establish",v
ཤིང་ཏོག་སྐམ་པོ,dry fruit,n
གཟིགས་པ,"to buy, to purchase, to look at (H)     (ཐ་དད་པ)",v
གོང་ཁེ་པོ,cheap,adj
བྲོ་བ་ཆེན་པོ་,"tasty, delicious, good taste",adj
ལྟོ་ཕད་,"bag, backpack",n
གོང་སྤར་བ,to increase the price     (ཐ་དད་པ),v
ཤེལ་དམ,glass bottle,n
ཚ་ལུ་མ,orange (fruit),n
སྟར་ཁ,walnut,n
ཡག་ག་ལ,How good! Amazing! How cool!,p
སོས་པ་སོས་རྐྱང་་,"completely fresh, extremely fresh",adj
་་་ཀྱི་བསམ་པ་ལ,in x’s opinion,
ཁམ་བུ་,peach,n
ཚོས་པོ་,"ripe, mature, cooked // སྨིན་པ།",adj
སྟོན་པ་,"(1) to show, to take out, to present     (ཐ་དད་པ)(2) teacher",v
ཕྱེད་ཀ,half,"n, adj"
ཕྲེང་བ་,"rosary, mala",n
གོང་ཆེན་པོ,expensive,adj
ཏོག་ཙམ,"a bit, a little bit",adj
གོས་ཐུང,"trousers, pants",n
སྤུས་དག་པོ,"good quality, excellent, high quality",adj
ཁྲོམ,"market, market place, bazaar",n
ཞྭ་མོ་,hat,n
ལག་རྟགས,"present, gift",n
ཉོ་ཆ་རྒྱག་པ་,to do shopping     (ཐ་དད་པ),v
སྟོད་ཐུང,"shirt, t-shirt",n
ཚོང་པ་,businessman,n
དྲི་མ,smell,n
མངར་མོ་,sweet (adj.),adj
གོང་,price,n
སིལ་མ,"small money, coins, change",n
ཚོང་རྒྱག་པ,to do business     (ཐ་དད་པ),v
ལྟོ་,"food, edible items, provisions",n
ཀུ་ཤུ,apple,n
བྱེ་མ་ཀ་ར,sugar,n
རྔན་པ,"present, gift, snack",n
བྱི་རིལ,"sweet, toffee",n
གོང་འཕར་བ,"the price going up, to increase (price)     (ཐ་མི་དད་པ)",v
རུལ་བ,"to rot, to disintegrate, become rotten     (ཐ་མི་དད་པ)",v
ཟག་པ,to fall down (mostly things)     (ཐ་མི་དད་པ),v
ཚོང་ཁང,shop,n
གསེར,gold,n
ཚོང་དཔོན,"seller, shopkeeper",n
དངོས་གནས་,"really, real, true, truly",adv
སང་ཉིན་,tomorrow,"adv, n"
དུས་ད་ལྟ་བ་,present,n
སྐར་ཆ་,second,n
དེ་རིང་,today,adv
ཟླ་བ་,"month, moon",n
སྤྱི་ཟླ་གཉིས་པ་,February,n
ཁ་སང་,yesterday,"n, adv, adj"
དུས་འདས་པ་,past,n
ཆུ་ཚོད་ག་ཚོད་ལ་,"at what time?, at what hour?",
སྐར་མ་,minute // star,n
ཆུ་ཚོད་,"hour // clock, wristwatch",n
མར་ཉལ་བ་,to lay down   (ཐ་མི་དད་པ་),v
གཞེས་ཉིན་,three days from today,adv
ཉིན་ལྟར་,"every day, daily (syn: ཉིན་མ་རྟག་པར་)",adv
འགོ་ཚུགས་པ་,"to start, to begin   (ཐ་མི་དད་པ་)",v
གཟའ་ཟླ་བ་,Monday,n
སྤྱི་ཟླ་,international month,n
བདུན་ཕྲག་,week (syn: གཟའ་འཁོར་),n
ཚེས་པ་,date,n
ཟིན་པ་,to be a certain time   (ཐ་མི་དད་པ་),v
ཡར་ལང་པ་,"to get up, to stand up   (ཐ་མི་དད་པ་)",v
གཟའ་པ་སངས་,Friday,n
ཉི་མ་ཉིན་གང་,"all day long, whole day",adv
འཆར་གཞི་བཟོ་བ་,to make plans   (ཐ་དད་པ་),v
ལོ་ལྟར་རེ་བཞིན་,"every year, annually // ལོ་རྟག་པར།",adv
ལམ་སང་,immediately,adv
གཟའ་མིག་དམར་,Tuesday,n
དུས་རབས་,century,n
ཙམ་,"approximately, around, merely",adj
ཆུ་ཚོད་ཕྱེད་ཀ་,half an hour,n
ཉེ་ཆར་,"recently, lately",adv
རྗེས་མ་,"coming, next","adv, adj"
གནངས་ཉིན་,the day after tomorrow,adv
བོད་ཟླ་,Tibetan (lunar) month,n
སྤྱི་ཟླ་དང་པོ་,January,n
ཚེས་བཟང་དུས་བཟང་,auspicious days,n
ཁ་སིང་,"the other day, a few days ago",adv
དུས་མ་འོངས་པ་,future,n
གཟའ་ཕུར་བུ་,Thursday,n
རྗེས་ལུས་ཐེབས་པ་,"to be (too) late, to be fallen, left behind   (ཐ་མི་དད་པ་)",v
ཞག་པོ་,one day and one night,n
འབྱོར་བ་,"to arrive, to reach, to get to   (ཐ་མི་དད་པ་)",v
སྔོན་མ་,"the past, previous",adj
ལོ་ཐོ་,"calendar, agenda",n
ཉིན་མ་,day (syn: ཉིན་མོ་),n
ཉིན་མཚན་,day and night,n
མི་རབས་,generation,n
ལོ་རྟགས་,astrological sign of the year,n
དུས་མཉམ་དུ་འཁེལ་བ་,"to coincide, to happen at the same time   (ཐ་མི་དད་པ་)",v
ཁ་པར་ཨང་གྲངས་,phone number,n
དུས་ཚོད་,time,n
ནས་ ... བར་དུ་,from ... until,
གཟའ་ལྷག་པ་,Wednesday,n
ལྟ་གིན་ལྟ་གིན་བྱེད་པ་,"to go with the flow, to decide as one goes   (ཐ་དད་པ་)",v
གཟའ་,day of the week; planet,n
འགོར་བ་,"to last, to take time   (ཐ་མི་དད་པ་)",v
ད་རེས་,"at present, nowadays",adv
གནམ་གྲུ་འབབ་ཐང་,airport // གནམ་ཐང་,n
ཕྱིས་དྲགས་པ་,to be too late   (ཐ་མི་དད་པ་),v
གྲ་སྒྲིག་བྱེད་པ་,"to make arrangements, to prepare   (ཐ་དད་པ་)",v
རི་ལིའི་བབས་ཚུགས་,railway station,n
གླང་ཆེན་,elephant,n
བསུ་བ་,"to pick up, to welcome, to receive   (ཐ་དད་པ་)",v
སྐྱོན་ཤོར་བ་,"to break down, stop functioning   (ཐ་མི་དད་པ་)",v
གཏན་འཁེལ་བ་,"to be fixed, reconfirmed, decided   (ཐ་མི་དད་པ་)",v
འགྲུལ་བཞུད་བྱེད་པ་,"to travel, to go travelling   (ཐ་དད་པ་)",v
རྗེས་ལུས་འཐེབས་པ་,"to get late, to arrive late   (ཐ་མི་དད་པ་)",v
བློ་བདེ་པོ་,"at ease, without worrying",adj
རྙོག་དྲ་ཚ་པོ་,"troublesome, problematic, complicated",adj
སྤ་སེ་,"ticket, pass",n
འཆར་གཞི་,"plan, project, proposal",n
སྒུག་པ་,"to wait, to await, to wait for   (ཐ་དད་པ་)",v
བོང་བུ་,"donkey, ass",n
ལག་འཁྱེར་,"passport, permission, permit",n
ཡུལ་སྐོར་སྤྲོ་འཆམ་,"sightseeing, tourism",n
བར་ཆད་,"obstacle, hindrance, interference",n
ཁོར་ཡུག་,"environment, atmosphere, ambience",n
ཆོག་མཆན་,"permit, visa, authorization, approval",n
ཆོག་མཆན་ཞུ་བ་,"to get a permit, apply for a permit   (ཐ་དད་པ་)",v
ལྷོད་ལྷོད་བྱས་ནས་,"relaxed, leisurely, in a relaxed way",adj
ལམ་ཡིག་,"travel document, permit, passport",n
སྡོད་པ་,"to sit, stay, be seated   (ཐ་མི་དད་པ་)",v
སྦག་སྦག་,motorbike,n
རྟ་,horse,n
ས་མཚམས་,"border, boundary, limit, frontier of a country",n
འཁྱམ་འཁྱམ་ལ་འགྲོ་བ་,"to go for a walk, stroll / to wander around   (ཐ་མི་དད་པ་)",v
གྲུ་གཟིངས་,"boat, ship",n
དུས་ཚོད་ཀྱི་རེའུ་མིག་,"timetable, schedule",n
གནས་སྐོར་,pilgrimage,n
མེ་འཁོར་,"train, rail",n
གཏོང་བ་,to drive   (ཐ་དད་པ་),v
འགྲིམ་འགྲུལ་ལས་ཁུངས་,travel agency,n
བློས་འཁེལ་པོ་,"reliable, trustworthy",adj
རྗེས་མ་ཟིན་པ་,"to miss / not catch (a train, a flight)   (ཐ་མི་དད་པ་)",v
སྟབས་བདེ་པོ་,"convenient, handy, easy",adj
སྐྱེལ་བ་,"to see off, to escort, to deliver, to take to   (ཐ་དད་པ་)",v
མོ་ཊ་,"car, automobile",n
ཁ་ལོ་བ་,"driver, chauffeur, pilot,",n
ཉོབ་པ་,"to get bored, to be upset, to dislike   (ཐ་མི་དད་པ་)",v
རྙོག་དྲ་བཤད་པ་,to complain   (ཐ་དད་པ་),v
རྗེས་ཟིན་པ་,"to catch, be on time for   (ཐ་དད་པ་)",v
རྐང་འཁོར་,bicycle,n
སྤ་སེ་བཏོག་པ་,to reserve a ticket   (ཐ་དད་པ་),v
གཞུང་ཚབ་ཁང་,"embassy, consulate",n
