front,back,part_of_speech
ཐད་འཕུར་གནམ་གྲུ་,helicopter,n
གནམ་གྲུ་,airplane,n
སྤྱི་སྤྱོད་རླངས་འཁོར་,bus,n
བྱུང་འཛིན་,"receipt, bill",n
རོགས་པ་,"companion, help",n
མོ་ཊ་གླ་བ་,to rent / hire a car   (ཐ་དད་པ་),v
དཀའ་ངལ་ཕྲད་པ་,"to face troubles, to encounter difficulties, problems   (ཐ་མི་དད་པ་)",v
སྤ་སེ་ཉོ་བ་,to buy a ticket (in advance)   (ཐ་དད་པ་),v
ཚང་ཀ་ཚ་པོ་,"crowded, packed",adj
ཞོན་པ་,"to ride (a vehicle, a horse)   (ཐ་དད་པ་)",v
ཞེད་པ་,"to fear, to be afraid of   (ཐ་མི་དད་པ་)",v
གོམ་པ་བརྒྱབ་ནས་འགྲོ་བ་,"to go on foot, to go by walk (ཐ་མི་དད་པ་)",v
ནང་ལོགས་ལ་,"inside, in",prep
རྐང་ཐང་ལ་འགྲོ་བ་,to go walking (ཐ་མི་དད་པ་),v
ཀྱོག་པ་,to turn (ཐ་མི་དད་པ་),v
ལམ་ཀ་ནོར་བ་,to lose one's way (ཐ་མི་དད་པ་),v
གདོང་ཐུག་རྒྱག་པ་,"to have an accident, to bump into each other (ཐ་མི་དད་པ་)",v
ཤར་རྒྱག་,"straight, vertical, directly","adv, adj"
མདུན་ལ་,in front of,adv
དཀྱིལ་ལ་,"in the middle, in the centre",adj
ཐད་ཀར་,"straight, direct, directly // ཤར་རྒྱག ཁ་ཐུག་","adj, adv"
སྐད་ཆ་འདྲི་བ་,to ask (ཐ་དད་པ་),v
སྐས་འཛེག་འཛེག་པ་,to climb stairs (ཐ་དད་པ་),v
རྒྱང་པོ་,in the distance // རྒྱང་། རྒྱང་རིང་པོ།,adj
ཐག་ཉེ་པོ་,"close, near",adj
གྱེན་,upwards,adv
ཐུར་,"sloping downwards, descending","adv, adj"
འཁྲིས་ལ་,"close by, nearby, next to // གམ་དུ་, འགྲམ་ལ་","adv, adj"
བར་དུ་,"until, up to","prep, conj"
ཉེན་ཁ་,"danger, risk",n
ལམ་ཀ་རྙེད་པ་,to find the way (ཐ་མི་དད་པ་),v
གུ་དོག་པོ་,"narrow, small, tight",adj
ཞག་རྩི་,"fat, oil (liquid)",n
སྒང་ལ་,"on top of, up, above, over","adv, prep"
ཁ་བྱང་,address,n
ཐག་རིང་པོ་,"far, distant",adj
འཁྲིད་པ་,"to lead, to guide, to teach a lesson (ཐ་དད་པ་)",v
ཕྱི་ལོགས་ལ་,"outside, out","adv, prep"
གཡས་གཡོན་ལ་,"around, surrounding, on either side (lit. right and left)","adv, prep"
ལོག་པ་,"to return, to go / come back (ཐ་མི་དད་པ་)",v
ལམ་ཀ་,"road, path",n
འགྲོ་ས་,"path, way (lit. place to go)",n
བཀའ་འདྲི་ཞུ་བ་,to ask (Hh) (ཐ་དད་པ་),v
གཟབ་གཟབ་བྱེད་པ་,to be careful (ཐ་དད་པ་),v
དལ་པོ་བྱས་ནས་,"slowly, not busy, in a relaxed way",adv
བྲེལ་བ་ཚ་པོ་,busy,adj
གུ་ཡངས་པོ་,"vast, spacious, broad, wide",adj
ཚང་ཀ་རྒྱག་པ་,to be crowded (ཐ་དད་པ་),v
ཡར་མར་,back and forth (lit. up and down),adj
ཕར་ཕྱོགས་,"opposite side, other side",n
མགྱོགས་ག་,"faster, quicker",adv
བཞི་མདོ་ཁ་,"crossroads, intersection where four roads meet",n
གཡོན་ཕྱོགས་,left side,n
ལམ་ཀ་བཙལ་བ་,to look for one's way (ཐ་དད་པ་),v
ཟུར་,"edge, corner, side",n
རྒྱལ་སྒོ་,"main gate, main entrance",n
རྒྱ་ལམ་,"main road, main street",n
མགྲོན་ཁང་,"guest house, hotel",n
འགྲམ་ལ་,"side, nearby, besides","adv, adj"
ཆེད་དུ་,"for, for the sake of, in order to",prep
རྒྱབ་ལོགས་ལ་,"behind, at the back of","adv, prep"
ག་ལེ་,"slow, soft, gentle",adj
འགྲོ་སའི་ལམ་ཀ་,road which leads to...,n
བར་ལ་,between,conj
སྐོར་ལ་,"about, regarding",prep
གསུམ་མདོ་ཁ་,"crossroads, intersection where three roads meet",n
ལམ་ཀ་སྟོན་པ་,to show the way (ཐ་དད་པ་),v
ཚུར་ཕྱོགས་,this side,"n, adj, adv"
ཡར་,"upwards, up","adv, prep"
མགྱོགས་པོ་,"fast, quick // soon","adj, adv"
མར་,"below, downwards, down","adv, adj"
འོག་ལ་,"under, below, underneath","adv, prep"
གཡས་ཕྱོགས་,right side // ལག་པ་གཡས་ཕྱོགས།,n
མགྱོགས་ལམ་,shortcut,n
བཟོ་ལྟ་,"style, manner, look",n
ཉལ་ཁང་,"bedroom, dormitory",n
ཉལ་ཁྲི་,bed,n
ཕྱིས་པ་,"to erase, to sweep away, to clean up   (ཐ་དད་པ་)",v
ཁ་གདན་,"cushion, mattress, rug",n
གློག་ཐབ་,electric stove,n
མཐུན་རྐྱེན་,facilities,n
ཁང་པ་གླ་བ་,"to rent an apartment, house (as tenant)   (ཐ་དད་པ་)",v
གློག་བསོད་པ་,to switch off the light (lit. to kill the light)   (ཐ་དད་པ་),v
ཆབ་ཁང་,toilet (H),n
གནས་ཚང་གཡར་བ་,"to find lodging, to give lodging   (ཐ་དད་པ་)",v
ཁང་གླ་,"money for rent, house rent, room rent",n
གསོལ་ཐབ་,"stove, hearth (H)",n
གསང་སྤྱོད་,"lavatory, toilet, bathroom, washroom, restroom (not polite)",n
སྐས་འཛེགས་,stairs,n
བརྙན་འཕྲིན་,television,n
གཙང་མ་,"clean, neat",adj
ཉལ་ཆས་,"blankets, sleeping bag",n
ཚོམས་ཆེན་,"reception hall, assembly hall, living room",n
རླུང་འཕྲིན་,radio,n
ཕྱགས་མ་རྒྱག་པ་,"to sweep, to use a broom   (ཐ་དད་པ་) // གད་རྒྱག་པ་",v
ནང་སྤོ་པ་,"to move house, to move",v
རྒྱལ་སྒོ་,"main door, main entrance",n
ས་གདན་,floor rug,n
དེང་རབས་ཅན་,modern // དེང་དུས་,n
ལྡུམ་རྭ་,garden,n
ཁྱིམ་མཚེས་,neighbour,n
འཁྲུས་ཁང་་,washroom,n
འབུ་,"insect, bug, maggot, worm",n
གཟིམ་ཁང་,"house, bedroom, hermitage (H)",n
ས་མཐིལ་,floor // ཞ་ལ་,n
གློག་སྤར་བ་,to turn on the light   (ཐ་དད་པ་),v
སྒོ་ལྕགས་,"lock, padlock",n
ཐབ་,stove,n
གཙང་མ་བཟོ་བ་,"to clean, to make clean   (ཐ་དད་པ་)",v
བཙོག་པ་,"filthy, dirty, unclean",adj
ཐོག་བརྩེགས་,"floor, storey (first, second, etc)",n
ཁང་གླ་གཏོང་བ་,"to rent / let out an apartment, house (as landlord)   (ཐ་དད་པ་)",v
མགྲོན་ཁང་,"hotel, guest house, lodge",n
རྩ་ལ་,"at someone's, at someone's house, close, nearby","adv, prep"
ཁང་མིག་,"room, compartment",n
གྲྭ་ཤག་,chamber for monks,n
ཁང་བདག་,"house owner, landlord",n
ཐལ་བ་,dust,n
ཁང་པ་,"house, building, apartment, domicile, habitation",n
ནང་,"home, house // ཁང་པ་",n
ཁུ་སིམ་པོ་,"quiet, peaceful, calm",adj
གློག་,"electricity, power, light",n
བཞུགས་ས་,"place to stay, home, house (H)",n
སྡོད་ས་,"place to stay, home, house",n
ཚོས་གཞི་,color,n
ཞྭ་མོ་,"hat, cap",n
ཆ་,pair,adj
མུ་ཏིག་,pearls,n
འོག་འཇུག་,"blouse, underwear, shirt, undershirt",n
དྲོད་པོ་,warm,adj
དབྱིངས་ཚ་པོ་,"fashionable, fancy",adj
གྱོན་བདེ་པོ་,comfortable to wear,adj
དུག་སློག་གྱོན་སྟངས་,ways of dressing,n
རྐང་སུག་,"socks, stockings",n
རྩུབ་པོ་,"rough, harsh, coarse",adj
དངོས་གནས་,"really, true","adj, adv"
ལྷམ་གོག་,"shoes, boots",n
ཆར་སླེ་,"raincoat // ཆར་ཁེབས་, ཆར་གོས་",n
ཕུ་དུང་་,sleeves // ཕུ་ཐུང་།,n
ལག་ཤུབས་,gloves,n
ཕྱིང་པ་,felt,n
བེད་སྤྱོད་ཆེན་པོ་,"used a lot, often used, useful",adj
ཆར་གདུགས་,umbrella for the rain,n
ཨ་མཆོག་གི་རྒྱན་ཆ་,ear ornaments,n
སྤྲིན་བལ་,cotton,n
བྱུ་རུ་,coral,n
གོས་ཐུང་,"trousers, pants",n
རྒྱན་ཆ་,"ornaments, jewellery",n
གཡར་བ་,"to lend, to borrow   (ཐ་དད་པ་)",v
སྔོ་སྐྱ་,"bluish, light blue","n, adj"
སྐེ་རྒྱན་,necklace,n
མིག་ཤེལ་,"glasses, sunglasses, goggles",n
དངུལ་,silver,n
ཨ་ལོང་,earring,n
རལ་བ་,"to be torn, to be worn out   (ཐ་མི་དད་པ་)",v
ཉི་གདུགས་,umbrella for the sun,n
པང་གདན་,Tibetan apron,n
ཁ་དཀྲི་,scarf,n
འགྱིག་,"rubber, synthetic (lit. plastic)",n
རྫིག་པོ་,"handsome, impressive (males)",adj
ཆར་གོས་,"rain coat // ཆར་ཁེབས་, ཆར་སླེ་",n
ཕྱུ་པ་ཕུ་མེད་,sleeveless chupa,n
བསིལ་ལྷམ་,"slippers, sandals",n
གཡུ་,turquoise,n
དར་གོས་,silk,n
དུག་སློག་,"clothes, clothing // གྱོན་ཆས་",n
རས་,"cloth, fabric",n
སྐེ་རགས་,"belt, sash, scarf worn around the waist",n
ཀོ་བ་,leather,n
འཚེམ་པ་,to sew   (ཐ་དད་པ་),v
གྲྭ་ཆས་,"robes, monk's dress",n
གཡོགས་པ་,"to cover, to dress, to hang (on someone else)   (ཐ་དད་པ་)",v
གྱོན་ཆོག་གི་རེད་,it’s fine if one wears...,
རག་པ་,"to get, to receive, to obtain, to find   (ཐ་མི་དད་པ་)",v
གྱོན་ཆས་,"clothes, clothing // དུག་སློག་",n
མཐུག་པོ་,"thick, dense",adj
བཅིངས་པ་,"to fasten, to bind, to put fetters   (ཐ་དད་པ་)",v
སྟོད་ཐུང་ཕུ་མེད་,sleeveless shirt,n
སྟོད་ཐུང་,"shirt, t-shirt, blouse, upper garment",n
སྒྲིག་ཆས་,uniform,n
ལེན་པོ་,"suitable, fitting // རན་པོ།",adj
སྨད་གཡོག་,skirt,n
ཕྱུ་པ་,"traditional Tibetan dress, chupa, coat",n
བཏགས་པ་,"to wear, to put on ornaments, to hang, to tie up or bind (ཐ་དད་པ་)",v
ཚིགས་ཁེབས་,"finger ring, ring, ornament worn above the elbow",n
ཀྲབ་ཀྲབ་,"thin, light",adj
ཆུ་ལྷམ་,rain boots,n
དབྱིན་ཇིའི་དུག་སློག་,Western clothing,n
གསེར་,gold,n
གཟན་,upper dress of a monk's robe,n
སྙིང་རྗེ་པོ་,"beautiful, nice",adj
མཛེས་མ་,"pretty, beautiful (female)",adj
བོད་ཆས་,"Tibetan dress, Tibetan clothing",n
ཁ་ཤས་,"some, a few // འགའ་ཤས་","pro, adv"
དགའ་ཤོས་,favourite,adj
གྱོན་པ་,"to wear, to put on, to dress   (ཐ་དད་པ་)",v
འཇམ་པོ་,"smooth, gentle, soft",adj
མཚམས་མཚམས་ལ་,"sometimes, once in a while, occasionally",adv
དྭང་བླངས་པ་,volunteer,n
འཕྲུལ་ཆས་,"machine, device",n
ཞིབ་འཇུག་བྱེད་པ་,"to do research, to assess, to study",v
གནས་སྟངས་,situation,n
ལྟ་སྐྱོང་བྱེད་པ་,"to take care of, to look after, supervise",v
ཕན་ཡོན་,"advantage, benefit",n
ལས་ཀ་རག་པ་,"to get, to find a job   (ཐ་མི་དད་པ་)",v
འཚོ་བ་སྐྱེལ་བ་,"to make a living, to live, to earn a living",v
ཞབས་ཕྱི་,"servant, attendant (esp. attendant of Rinpoche or teacher)",n
ནོར་འཁྲུལ་ཤོར་བ་,to make a mistake,v
ལས་བྱེད་པ་,"worker, member of staff",n
ཁྲིམས་དཔོན་,judge,n
རོལ་དབྱངས་པ་,musician // རོལ་ཆ་བ། རོལ་དབྱངས་གཏོང་མཁན།,n
ངོ་མཁྱེན་པ་,to know / recognize somebody (H)   (ཐ་མི་དད་པ་),v
ཉེན་རྟོག་པ་,"watchman, policeman, security guard",n
འཇོན་པོ་,"able, capable, bright, efficient",adj
སྲིད་དོན་མཁས་པ་,politician,n
ངའི་བསམ་ཚུལ་ལ་,"From my way of thinking, in my opinion",
མི་ཚེའི་ལོ་རྒྱུས་མདོར་བསྡུས་,"C.V., curriculum vitae, resume",n
ཡོང་འབབ་,income,n
རྒས་ཡོལ་ཞུ་པ་,to retire // རྒས་ཡོལ་ཐོན་པ།,v
གཟུགས་པོ་ཐང་པོ་,healthy,adj
འཆར་འགོད་པ་,engineer,n
སོ་པ་,"spy, watchman",n
ཨེམ་ཆི་,"doctor, physician",n
བསོད་ནམས་གསོག་པ་,to accumulate merit,v
སྒྱུ་རྩལ་,arts,n
ཚོགས་འདུ་,"meeting, conference",n
སེམས་ཁམས་རིག་པ་,psychology,n
ཉམས་མྱོང་གསོག་པ་,"to gather experiences, to gain experience",v
རྩིས་པ་,accountant,n
སྙན་ཞུ་འཕུལ་བ་,"to apply, to solicit aid",v
སྐྱོ་པོ་,poor,adj
ཤུགས་ཆེན་པོ་,strong,adj
སྐད་རིགས་,langauge,n
དཀའ་ལས་རྒྱག་པ་,"to make an effort, to struggle",v
དཔལ་འབྱོར་,"wealth, economy, prosperity",n
ནད་གཡོག,caregiver,n
གསར་འགོད་པ་,journalist,n
བློས་འཁེལ་པོ་,"reliable, trustworthy",adj
ལས་འགན་,"duty, responsibility",n
འཁྲབ་མཁན་,"actor, actress",n
ངོ་ཤེས་པ་,to know / recognize somebody   (ཐ་མི་དད་པ་),v
བྱེད་སྒོ་,"activities, duties, things to do",n
གླ་ཆ་,"salary, fee",n
ཚོད་དཔག་བྱེད་པ་,"to guess, to estimate   (ཐ་དད་པ་)",v
ཕྱུག་པོ་,rich,adj
སྲིད་དོན་པ་,politician,n
འདམས་པ་,"to choose, to select",v
དགེ་རྒན་,teacher,n
གཞོན་གཞོན་,young,adj
ཚོགས་པ་,"group, organization, collective",n
སྡིག་པ་གསོག་པ་,to accumulate misdeeds,v
ཚན་རིག་པ་,scientist,n
མེ་མདའ་,"gun, weapon",n
རྩོམ་པ་པོ་,"writer, author, composer",n
གང་འདྲས་ཟེ་,how (verb) ?,int
དཔོན་པོ་,"chief, official",n
དྲུང་ཡིག་,secretary,n
ལག་རྩལ་,"handicraft, technique, skill",n
དྲང་པོ་,"honest, right, straight",adj
གཟུགས་པོ་རིང་པོ་,"tall, long (for a living being)",adj
ལྟད་མོ་ཆེན་པོ་,"entertaining, nice to see",adj
ལས་ཁུངས་,office,n
ཕན་པ་,"to benefit, to be beneficial",v
བཟོ་གྲྭ་,"factory, workshop",n
དམག་མི་,"soldier, warrior, army",n
མང་རུ་འགྲོ་བ་,"to become more, increase",v
ལས་ཀ་བཙལ་བ་,to look for work (ཐ་དད་པ་),v
དངུལ་གསོག་པ་,to save money,v
ཉུང་རུ་འགྲོ་བ་,"to decrease, to become less",v
གནོད་པ་,"to harm, to be harmful",v
བརྟན་པོ་,"firm, stable, strong",adj
གལ་ཆེན་པོ་,"important, crucial",adj
སློབ་གྲྭ་ཐོན་པ་,"to graduate, to finish school",v
གཞས་གཏོང་མཁན་,singer,n
རྫ་མཁན། རྫ་མ་བཟོ་མཁན་,potter,n
གཟུགས་པོ་ཐུང་ཐུང་,"short, small (for a living being)",adj
ཞབས་ཞུ་བ་,"waiter, waitress, social worker",n
སྲོག་ལ་ཉེན་ཁ་,"danger concerning one's life, life threatening",n
ལག་ཆ་,"tool, instrument",n
ལྷ་འབྲི་པ་,"artist, painter, thangka painter",n
མཁས་པ་,"skilled, skilful, learned",adj
རོགས་རམ་ཚོགས་པ་,"aid, relief agency",n
ཞིང་པ་,farmer,n
འགོ་འཁྲིད་,"boss, leader, head",n
བཟོ་པ་,craftsman,n
ངས་བྱས་ན་,"in my opinion, in my view",
རྔོན་པ་,hunter,n
ཤ་རྒྱགས་པ་,"fat, big sized",adj
དམིགས་ཡུལ་,"aim, goal, objective",n
སྐད་གྲགས་ཆེན་པོ་,"famous, well known",adj
ཤིང་བཟོ་བ་,carpenter,n
ཤ་སྐམ་པོ་,"thin, slim",adj
མ་བྱན་,"cook, chef",n
དཀའ་ལས་ཁག་པོ་,"difficult, tiring",adj
ལེ་ལོ་ཚ་པོ་,lazy,adj
ལས་མེད་,unemployed,adj
སྐྱོན་,"flaw, fault, disadvantage",n
ལས་ཀ་,"work, job, profession, occupation",n
གྲུམ་བུ་ན་ཚ་,arthritis // གྲུམ་ནད་,n
ཚབས་ཆེན་པོ་,"acute, serious, severe, grave // ལྗིདཔོ་",adj
ཚ་བ་འཕར་བ་,to have a fever // ཚ་བ་འབར་བ་,v
དུས་ཐོག་ལ་,on time,adv
དུས་ཐོག་ལ་,on time // དུས་ཚོད་ལ་,adv
རྒས་འཁོགས་,old person,n
ཁྲག་ཤེད་,blood pressure,n
ཐུགས་ཁྲལ་གནང་བ་,to worry (H),v
ལྗིད་པོ་,"heavy, severe",adj
གསོ་བ་རིག་པ་,medicine (the subject / the study of),n
ཟུག་བཅག་སྨན་,pain medication,n
གྲག་གི་སྡེ་ཚན་,blood type,n
རླུང་ཚ་པོ་,"angry, short tempered",adj
སྣང་ཆུང་,"unimportant, insignificant",adj
བཤལ་བ་,to defecate (medicinal texts),v
མགོན་མེད་,"alone, without protector or refuge",adj
རྨ་,"wound, sore, injury",n
འཕྲོད་བསྟེན་,"health, sanitation",n
མཛེ་ནད་,leprosy,n
བཅུད་ཆེན་པོ་,nutritious,adj
དགུང་ལོ་མཐོན་པོ་,old (H),adj
རྒྱུན་ལྡན་,"normal, regular","adv, adj"
རྐང་པའི་སོར་མོ་,toes // རྐང་མཛུབ་,n
སྐྲན་ཆགས་པ་,to swell,v
སྐྲིན་ནད་,cancer,n
བཤག་བཅོས་,surgery,n
ལྡབ་ལ་འརྒྱུར་བ་,to multiply,v
སྐུ་གཟུགས་གསལ་ཐང་,(h) good health // སྐུ་གཟུངས་བདེ་པོ། སྐུ་གཟུགས་ཐང་པོ།,n
ལུས་ཀྱི་ཆ་ཤས་,body parts,n
ཏོག་དབྱིབས་ན་ཚ་,COVID 19 illness // ཏོག་དབྱིབས་གཉན་རིམས་ ༡༩,n
ཆུ་ལོག་,"floods, torrents",n
སྐུ་བལྟམས་,"be born, take birth (H)",v
ནད་ཡམས་,epidemic,n
ན་ཚ་ཕོག་པ་,"to be struck by a disease, to get a disease",v
ཆག་པ་,"to break, to be broken (invol.)",v
སྨན་བཅོས་བྱེད་པ་,"to give treatment, to treat, to cure",v
མགོ་ཡུར་འཁོར་བ་,to be dizzy,v
ན་ཚ་འགོས་པ་,"to be infected, to be be contaminated by a disease",v
ཟུག་རྒྱག་པ་,"to hurt, to ache",v
ཁ་གདང་བ་,to open one's mouth,v
རྨས་པ་,"to injure་(one's self), to be injuredཐ་མི་དད་པ་",v
བདེ་པོ་ཞེ་དྲགས་མི་འདུག,I am not too well.,
ཟུག་,pain,n
ཨེམ་ཆི་བསྟེན་པ་,"to attend, to go and see a doctor",v
ངལ་གསོ་རྒྱག་པ་,"to take a rest, to relax, to recover",v
བརྟག་དཔྱད་བྱེད་པ་,"to examine, to investigate, to analyze (used for a doctor to examine a patient)",v
རྨས་སྐྱོན་གཏོང་བ་,to injure (both self and others)ཐ་དད་པ་ & ཐ་མི་དད་པ་ // རྨས་པ། གནོད་པ་བྱེད་པ། གནོད་པ།,v
གསོལ་སྨན་,medicine (H),n
དྲག་པ་,"to get better, to recover from a disease",v
ཁ་ཏིག་,bitter,adj
སྙུང་བ་,"to be sick, to be ill, to hurt, to ache (H)ན་གི་ཞེ་ས།",v
སྡུག་ཅག་,"bad, ugly, tough",adj
གྲོད་ཁོག་བཤལ་བ་,to have diarrhoea,v
དྲོད་འཇམ་,"warm, lukewarm",adj
གློ་རྒྱག་པ་,to cough,v
འཆར་ཅན་,"normally, habitually, [plan-possessinng] // ནམ་རྒྱུན་",adv
ལྕེ་,"tongue // ལྕེ་ལེ་, ལྕེ་ལེབ་",n
སྐྱུག་པ་སྐྱུགས་པ་,"to vomit, throw up",v
རྔུལ་ནག་,sweat // རྔུལ་ཆུ་,n
རྩྭ་སྨན་,herbal medicine,n
སྙུང་གཞི་,"sickness, disease (H)ན་ཚ་གི་ཞེ་ས།",n
ལ་དུག་,"altitude sickness, mountain sickness",n
དམའ་བོ་,low,adj
སྨན་,medicine,n
ཆམ་པ་རྒྱག་པ་,"to have a cold, to have the flu",v
མཆིན་པའི་ན་ཚ་,liver disease,n
དྭངས་པ་,"to recover, to get better (H)",v
བཤལ་ནད་,diarrhoea,n
རྐང་མར་,Bone marrow,n
མང་ཙམ་,"mostly, much // མང་པོ་ཨོ་ཙམ་",adv
རོ་,corpse // མི་རོ་,n
རྐང་པ་,foot,n
བོད་སྨན་,Tibetan medicine,n
གནོད་པ་,to harm,v
ན་ཚ་,"sickness, disease  (syn: ནད་) // ནད། སྙུང་གཞི།",n
ཁབ་རྒྱག་པ་,to give an injection,v
ན་བ་,"to be sick, to be ill, to hurt, to ache // ཟུག་རྒྱག་པ་",v
གདོང་པ་,face,n
ནད་པ་,"sick person, patient",n
གནོད་པ་བྱེད་པ་,to bring harm,v
རིལ་བུ་,pills,n
མཐོ་པོ་,high,adj
སྨན་ཁང་,"hospital, clinic",n
མཆེ་བ་,"fang, tusk",n
སྲུང་སྐྱོབ་བྱེད་པ་,"to protect, to guard, to save (ཐ་དད་པ་)",v
རྫིག་པོ་,"handsome, impressive (males)",adj
ཉར་བ་,"to take care of, to look after",v
སྦྲུལ་,snake,n
ལུད་,fertilizer,n
བློ་ཁོག་ཆེན་པོ་,"brave, courageous, valiant",adj
རྔོན་རྒྱག་པ་,to hunt // རི་དྭགས་རྒྱག་པ། རི་དྭགས་རྔོན་པ།,v
རྟ་,horse,n
བློས་འཁེལ་པོ་,reliable,adj
མངར་མོ་,sweet,"adj, n"
སྙིང་རྗེ་ཆེན་པོ་,compassionate,adj
སྲོག་གཅོད་པ་,to take the life,v
ཨ་མཆོག་སངས་པོ་,sharp of ear faculties // ཨ་མཆོག་རྣོན་པོ།,adj
བཀག་པ་,"to tie up, to stop",v
ཚོན་ཁྲ་,colourful,adj
མཐུག་པོ་,"thick, dense",adj
སྟག་,tiger,n
རྔ་མ་,tail // གཞུ་གུ་,n
གླ་བ་,musk deer,n
དམར་ཟས་,"meat, non-veg food",n
གསོ་བ་,"to keep, to raise",v
ལྗིད་གོག་ཚ་པོ་,heavy // ལྕི་པོ། ལྗིད་པོ།,adj
སྦྲང་ནོར་བུ་,bee // སྦྲང་བུ།,n
ཤ་གཟན་སྲོག་ཆགས་,carnivore,n
འོ་མ་འཐུང་སྲོག་ཆགས་,mammal,n
...ལ་སེམས་ཆགས་ནས་,wanting / desiring ... (adverbial),adv
རྟ་རྒྱུགས་ཀྱི་འགྲན་སྡུར་,horse race,n
འཇུ་བ་,digest,v
བཀའ་དྲིན་ཆེན་པོ།,worthy of gratitude,adj
བློ་ཁོག་ཆུན་ཆུང་་,cowardly,adj
བྲེལ་བ་,hurry,n
ནུབ་པ་ཆེན་པོ་,powerful // སྟོབས་ཤུགས་ཅན། ཁཿ དབང་ཤུགས་ཅན། ཤུགས་ཆེན་པོ།,adj
ཞེད་སྣང་ཚ་པོ་,"scary, terrifying",adj
གསོད་པ་,"to kill, to slaughter // སྲོག་གཅོད་པ།",v
མཆོངས་པ་,"to jump, to plunge",v
ཤ་སྤང་བ་,to give up meat,v
ཚེ་ཐར་གཏོང་བ་,to free animals who have been condemned to death,v
སྤྱང་པོ་,"smart, clever",adj
སོ་རྣོ་པོ་,sharp teeth,n
ཤ་ཁྲ་སྐེ་རིང་,giraffe,n
སྤྱང་ཀི,wolf // སྤྱང་ཁྱི་,n
གཞུ་,bow,n
གོ་ཐལ་གྱི་མདོག,ash color,adj
རྙོག་དྲ་,"problem, trouble // དཀའ་ངལ་",n
བཙོག་པ་,dirty,adj
སོས་པ་,fresh,adj
ལེ་ལོ་,lazy // ལེ་ལོ་ཚ་པོ།,adj
རུས་སྦལ་,"turtle, tortoise",n
རྫི་རྣོན་པོ་,keen of smell sense,n
བརྩོན་འགྲུས་ཆེན་པོ་,diligent,adj
ཁྱད་ཆོས་,"features, characteristics",n
ཆ་བཤད་ན་,for example // དཔེར་ན་,
ཁོག་ལྡིར་,teapot,n
མདེའུ་,bullet,n
རྒྱུས་,"familiar, to be familiar // (not གོམས་ to familiarize)",v
རྙོག་དྲ་ཚ་པོ་,"troublesome, annoying, complex",adj
ཧམ་པ་ཆེན་པོ་,"greedy, pushy, brave",adj
ཉམ་ཆུང་་,humble,adj
ལེན་པོ་,"fitting, suitable // རན་པོ།",adj
སྡོམ་,spider,n
སྦྲང་རྩི་,honey,n
འབྲི་,female yak,n
ཙི་ཙི་,"mouse, rat",n
རྨ་བྱ་,peacock,n
སྙན་པོ་,"pleasant to hear, interesting",adj
བེད་སྤྱོད་ཆེན་པོ་,used frequently,adj
སྟོབས་ཆེན་པོ་,"strong, sturdy",adj
དུག་སྦྲང་,mosquito,n
རླུང་ཚ་པོ་,short tempered,adj
ཁ་ཚ་པོ་,"spicy (food, hot)",adj
སྐྱུར་མོ་,sour,"n, adj"
གཅན་གཟན་ཁང་,zoo // སྤྱན་གཟིགས་ཁང་,n
དྲེལ་,mule,n
ཁ་ཏིག,bitter,adj
གཤོག་པ་,wings,n
ཝ་,fox,n
ནེ་ཙོ་,parrot,n
ལོ་ཆེན་པོ་,old (people and animals) // དགུང་ལོ་ཆེན་པོ།,adj
བྱ་སྤུ་,"feather, down",n
བོང་བུ་,"donkey, ass // བོང་གུ།",n
